CD_SETOR,NM_MUN,CD_DIST,NM_DIST,lat,lon
355030801000001,São Paulo,355030801,Água Rasa,-23.56783563209492,-46.57084079751695
355030801000002,São Paulo,355030801,Água Rasa,-23.56656187251948,-46.568270553685764
355030801000003,São Paulo,355030801,Água Rasa,-23.568593656280953,-46.567571314367555
355030801000004,São Paulo,355030801,Água Rasa,-23.57025453408791,-46.56890380725036
355030801000005,São Paulo,355030801,Água Rasa,-23.57152058629617,-46.5705846066765
355030801000007,São Paulo,355030801,Água Rasa,-23.570764831488834,-46.574306522356736
355030801000009,São Paulo,355030801,Água Rasa,-23.56778229440252,-46.575375996389475
355030801000010,São Paulo,355030801,Água Rasa,-23.566541526802443,-46.573432242124
355030801000011,São Paulo,355030801,Água Rasa,-23.565779075279355,-46.57145065096099
355030801000012,São Paulo,355030801,Água Rasa,-23.564102665958885,-46.57075566640269
355030801000013,São Paulo,355030801,Água Rasa,-23.565247140801354,-46.56684114705897
355030801000015,São Paulo,355030801,Água Rasa,-23.568051351059545,-46.56511688109184
355030801000016,São Paulo,355030801,Água Rasa,-23.570370770722562,-46.56548577692528
355030801000017,São Paulo,355030801,Água Rasa,-23.56934371017888,-46.56670657671225
355030801000018,São Paulo,355030801,Água Rasa,-23.571955729531542,-46.56494362241605
355030801000019,São Paulo,355030801,Água Rasa,-23.572929195930833,-46.565662396573266
355030801000020,São Paulo,355030801,Água Rasa,-23.5740009945825,-46.567998505281224
355030801000021,São Paulo,355030801,Água Rasa,-23.574172443899673,-46.57261447810485
355030801000022,São Paulo,355030801,Água Rasa,-23.57334351313107,-46.57488202599768
355030801000023,São Paulo,355030801,Água Rasa,-23.57179271259005,-46.57730716589143
355030801000024,São Paulo,355030801,Água Rasa,-23.568966572762474,-46.57685109062549
355030801000025,São Paulo,355030801,Água Rasa,-23.56765331063749,-46.57777961536857
355030801000028,São Paulo,355030801,Água Rasa,-23.56342601776894,-46.576600102671854
355030801000030,São Paulo,355030801,Água Rasa,-23.56324427464534,-46.57342326762626
355030801000031,São Paulo,355030801,Água Rasa,-23.561568395583606,-46.57201458812734
355030801000032,São Paulo,355030801,Água Rasa,-23.562748836353535,-46.56930885434708
355030801000033,São Paulo,355030801,Água Rasa,-23.56361221083008,-46.567116405941455
355030801000034,São Paulo,355030801,Água Rasa,-23.563988722804783,-46.56545869194112
355030801000035,São Paulo,355030801,Água Rasa,-23.565565183019903,-46.56359494125294
355030801000036,São Paulo,355030801,Água Rasa,-23.56823126121779,-46.56255092673228
355030801000038,São Paulo,355030801,Água Rasa,-23.569606863472572,-46.56036072870276
355030801000039,São Paulo,355030801,Água Rasa,-23.573961041960143,-46.56068169087947
355030801000040,São Paulo,355030801,Água Rasa,-23.575200736066986,-46.56268066880666
355030801000042,São Paulo,355030801,Água Rasa,-23.57506180020803,-46.56590002515902
355030801000043,São Paulo,355030801,Água Rasa,-23.575725646006568,-46.56790133534003
355030801000044,São Paulo,355030801,Água Rasa,-23.575816851761655,-46.57004875001939
355030801000045,São Paulo,355030801,Água Rasa,-23.57636200897165,-46.572961611793545
355030801000046,São Paulo,355030801,Água Rasa,-23.575993234867788,-46.57500664390414
355030801000047,São Paulo,355030801,Água Rasa,-23.57361678806948,-46.57658158854567
355030801000048,São Paulo,355030801,Água Rasa,-23.573936919264973,-46.57868912062064
355030801000049,São Paulo,355030801,Água Rasa,-23.572886430951176,-46.579931883605504
355030801000050,São Paulo,355030801,Água Rasa,-23.571596204370472,-46.57993478961653
355030801000051,São Paulo,355030801,Água Rasa,-23.56991782912078,-46.57954911043964
355030801000052,São Paulo,355030801,Água Rasa,-23.56825594893481,-46.58076251033809
355030801000053,São Paulo,355030801,Água Rasa,-23.566763812823883,-46.58032494669202
355030801000056,São Paulo,355030801,Água Rasa,-23.560791140153786,-46.57818210956786
355030801000057,São Paulo,355030801,Água Rasa,-23.560922579598177,-46.57528720978461
355030801000060,São Paulo,355030801,Água Rasa,-23.558374067716308,-46.57118557795169
355030801000061,São Paulo,355030801,Água Rasa,-23.560450092170427,-46.56961811263782
355030801000063,São Paulo,355030801,Água Rasa,-23.562075864218095,-46.5651716765906
355030801000064,São Paulo,355030801,Água Rasa,-23.56173988261348,-46.56743862725994
355030801000065,São Paulo,355030801,Água Rasa,-23.56456811683925,-46.56178795617809
355030801000066,São Paulo,355030801,Água Rasa,-23.565808877731765,-46.56016801405127
355030801000067,São Paulo,355030801,Água Rasa,-23.567820784598602,-46.56028271194183
355030801000068,São Paulo,355030801,Água Rasa,-23.571589789177438,-46.55990331490731
355030801000069,São Paulo,355030801,Água Rasa,-23.575864894045868,-46.5609912071366
355030801000072,São Paulo,355030801,Água Rasa,-23.577849953924296,-46.56658838736184
355030801000073,São Paulo,355030801,Água Rasa,-23.577770434800158,-46.5698294145493
355030801000074,São Paulo,355030801,Água Rasa,-23.577911712479864,-46.57269069158175
355030801000075,São Paulo,355030801,Água Rasa,-23.57585768257052,-46.576944419850925
355030801000077,São Paulo,355030801,Água Rasa,-23.568228358297777,-46.58302996285235
355030801000079,São Paulo,355030801,Água Rasa,-23.562662417844958,-46.58408792963321
355030801000084,São Paulo,355030801,Água Rasa,-23.55818988539319,-46.576446328472336
355030801000085,São Paulo,355030801,Água Rasa,-23.558060162864688,-46.57519815373443
355030801000086,São Paulo,355030801,Água Rasa,-23.567979561957646,-46.55612599287341
355030801000088,São Paulo,355030801,Água Rasa,-23.571464595524116,-46.557809080146136
355030801000089,São Paulo,355030801,Água Rasa,-23.57115410347786,-46.555739470659994
355030801000090,São Paulo,355030801,Água Rasa,-23.573484704738508,-46.55781438601413
355030801000091,São Paulo,355030801,Água Rasa,-23.575958644644725,-46.55841554304505
355030801000092,São Paulo,355030801,Água Rasa,-23.577820894095915,-46.55857434691335
355030801000095,São Paulo,355030801,Água Rasa,-23.579496694386673,-46.56408155031009
355030801000096,São Paulo,355030801,Água Rasa,-23.580414658156894,-46.56542532516295
355030801000097,São Paulo,355030801,Água Rasa,-23.579751277324412,-46.56707662098332
355030801000098,São Paulo,355030801,Água Rasa,-23.57919528350755,-46.56843410345098
355030801000099,São Paulo,355030801,Água Rasa,-23.578716081813877,-46.56974623665041
355030801000100,São Paulo,355030801,Água Rasa,-23.566396801733834,-46.58635730854147
355030801000103,São Paulo,355030801,Água Rasa,-23.558889965118357,-46.58268166950667
355030801000104,São Paulo,355030801,Água Rasa,-23.556106951330573,-46.5802241642652
355030801000105,São Paulo,355030801,Água Rasa,-23.556182222846587,-46.57577073230208
355030801000106,São Paulo,355030801,Água Rasa,-23.556098464654326,-46.57239815866901
355030801000107,São Paulo,355030801,Água Rasa,-23.564879187115984,-46.58822991320662
355030801000108,São Paulo,355030801,Água Rasa,-23.563076491286022,-46.58735165515045
355030801000109,São Paulo,355030801,Água Rasa,-23.561080147548864,-46.58674290892084
355030801000110,São Paulo,355030801,Água Rasa,-23.55874840249493,-46.58500217360356
355030801000111,São Paulo,355030801,Água Rasa,-23.556203028545873,-46.58306788701295
355030801000112,São Paulo,355030801,Água Rasa,-23.554457163402276,-46.58281185090696
355030801000113,São Paulo,355030801,Água Rasa,-23.55303101883657,-46.580620302637165
355030801000114,São Paulo,355030801,Água Rasa,-23.55092759708795,-46.579728813825
355030801000115,São Paulo,355030801,Água Rasa,-23.553059817260667,-46.577888284331955
355030801000116,São Paulo,355030801,Água Rasa,-23.554027055896977,-46.57507485179845
355030801000117,São Paulo,355030801,Água Rasa,-23.553671454160508,-46.57435283890044
355030801000118,São Paulo,355030801,Água Rasa,-23.55293454442924,-46.57352987436349
355030801000122,São Paulo,355030801,Água Rasa,-23.554941758362578,-46.579246141386975
355030801000123,São Paulo,355030801,Água Rasa,-23.566868900673658,-46.58392573078618
355030801000124,São Paulo,355030801,Água Rasa,-23.56402581018397,-46.58158810078475
355030801000125,São Paulo,355030801,Água Rasa,-23.556537309686785,-46.57554515840236
355030801000127,São Paulo,355030801,Água Rasa,-23.564607669551496,-46.56351210555873
355030801000128,São Paulo,355030801,Água Rasa,-23.568607716857805,-46.58083136025229
355030801000130,São Paulo,355030801,Água Rasa,-23.557436036800606,-46.582111926085894
355030801000131,São Paulo,355030801,Água Rasa,-23.570261078978607,-46.57198188402452
355030801000132,São Paulo,355030801,Água Rasa,-23.569800621377677,-46.57080003738238
355030801000133,São Paulo,355030801,Água Rasa,-23.569865902963787,-46.57585804309957
355030801000134,São Paulo,355030801,Água Rasa,-23.570174584248022,-46.57567034984256
355030801000135,São Paulo,355030801,Água Rasa,-23.566240211267093,-46.56452328693368
355030801000136,São Paulo,355030801,Água Rasa,-23.567329131569004,-46.56211544253833
355030801000137,São Paulo,355030801,Água Rasa,-23.56521965115623,-46.57750225681039
355030801000138,São Paulo,355030801,Água Rasa,-23.566018912186976,-46.57847413304912
355030801000139,São Paulo,355030801,Água Rasa,-23.5636956406282,-46.57818641550552
355030801000140,São Paulo,355030801,Água Rasa,-23.56175273675872,-46.57880256244129
355030801000141,São Paulo,355030801,Água Rasa,-23.561359053465157,-46.578705971991155
355030801000142,São Paulo,355030801,Água Rasa,-23.561717400103607,-46.57820399466035
355030801000143,São Paulo,355030801,Água Rasa,-23.563509028275096,-46.575148635794015
355030801000144,São Paulo,355030801,Água Rasa,-23.564796704430215,-46.57390728142541
355030801000145,São Paulo,355030801,Água Rasa,-23.57007615667667,-46.56366179689676
355030801000146,São Paulo,355030801,Água Rasa,-23.57035543737049,-46.56247842306743
355030801000147,São Paulo,355030801,Água Rasa,-23.575698114288457,-46.56530702050723
355030801000148,São Paulo,355030801,Água Rasa,-23.574207275004834,-46.564360409611446
355030801000149,São Paulo,355030801,Água Rasa,-23.564574353925373,-46.58012420628652
355030801000150,São Paulo,355030801,Água Rasa,-23.56530733190491,-46.58224740708618
355030801000151,São Paulo,355030801,Água Rasa,-23.566029398254514,-46.58291010944353
355030801000152,São Paulo,355030801,Água Rasa,-23.561148934463358,-46.58020386461091
355030801000153,São Paulo,355030801,Água Rasa,-23.562713516800574,-46.5797503617604
355030801000154,São Paulo,355030801,Água Rasa,-23.55812742859375,-46.57372013198772
355030801000155,São Paulo,355030801,Água Rasa,-23.558715326308956,-46.57457346495219
355030801000156,São Paulo,355030801,Água Rasa,-23.55882734301588,-46.5726147213619
355030801000157,São Paulo,355030801,Água Rasa,-23.560009118540894,-46.572866579149974
355030801000158,São Paulo,355030801,Água Rasa,-23.559195116508214,-46.56871611596997
355030801000159,São Paulo,355030801,Água Rasa,-23.560069704372083,-46.56843475046776
355030801000160,São Paulo,355030801,Água Rasa,-23.559763077705203,-46.569104336549316
355030801000161,São Paulo,355030801,Água Rasa,-23.577113452514716,-46.56120703626927
355030801000162,São Paulo,355030801,Água Rasa,-23.577943218670754,-46.56132044341699
355030801000163,São Paulo,355030801,Água Rasa,-23.567914183765307,-46.58422654460391
355030801000164,São Paulo,355030801,Água Rasa,-23.567595592851518,-46.58393622020001
355030801000165,São Paulo,355030801,Água Rasa,-23.562450140372075,-46.58190616083532
355030801000166,São Paulo,355030801,Água Rasa,-23.563940858231145,-46.58272831814637
355030801000167,São Paulo,355030801,Água Rasa,-23.56281127293419,-46.58291766641537
355030801000168,São Paulo,355030801,Água Rasa,-23.559570032416694,-46.580607844475395
355030801000169,São Paulo,355030801,Água Rasa,-23.55877994829797,-46.5808650114635
355030801000170,São Paulo,355030801,Água Rasa,-23.568126520554788,-46.55802077583171
355030801000171,São Paulo,355030801,Água Rasa,-23.570100280510374,-46.55706121351869
355030801000172,São Paulo,355030801,Água Rasa,-23.566375267459787,-46.55817336566845
355030801000173,São Paulo,355030801,Água Rasa,-23.56179299253084,-46.58573176138699
355030801000174,São Paulo,355030801,Água Rasa,-23.56458196888547,-46.586389656673816
355030801000175,São Paulo,355030801,Água Rasa,-23.563704061092544,-46.586182285920195
355030801000176,São Paulo,355030801,Água Rasa,-23.559769131045215,-46.58242587320821
355030801000177,São Paulo,355030801,Água Rasa,-23.560683083867225,-46.58370542962865
355030801000178,São Paulo,355030801,Água Rasa,-23.553065030691524,-46.57146393337626
