osm_id,osm_type,name,shop,operator,brand,addr_street,phone,opening_hours,latitude,longitude
468410592,node,Hipermercado Zaffari,supermarket,,,,,,-23.5270296,-46.6806689
491895198,node,Rycoy Supermercado,supermarket,,,,,,-23.6525319,-46.7337329
552899310,node,Sonda Hipermercado,supermarket,,,,,,-23.5252608,-46.5467876
599006044,node,Carrefour Express,convenience,,Carrefour Express,,,,-23.5530529,-46.6349356
631974244,node,Mercadinho,supermarket,,,,,,-23.5524103,-46.6275785
736952998,node,Sacolão Saúde,supermarket,,,,,,-23.5369328,-46.65159
736953003,node,Amreicanas Express,convenience,,,,,Mo-Sa 09:00-19:00; Su 09:00-17:00,-23.5394139,-46.6502864
745730426,node,Dia,supermarket,,Dia,,,,-23.5402673,-46.6506528
745741473,node,Mercado Extra,supermarket,,Mercado Extra,,,,-23.5438102,-46.5575259
745741488,node,Pomar da Vila,greengrocer,,,Avenida Celso Garcia,+55 11 2296 4789,Mo-Sa 07:00-21:00:Su 18:00-18:00; PH 08:00-20:00,-23.533988,-46.5658757
795849749,node,Mercado Extra,supermarket,,,Rua Belém,,,-23.5403697,-46.5949969
840700983,node,Santa Gema,supermarket,,,,,,-23.6013061,-46.6439567
918251543,node,Pão de Açúcar,supermarket,,Pão de Açúcar,Rua Apiacás,,,-23.5372244,-46.6782558
931057484,node,Deliparis‎,convenience,,,Rua Harmonia,,,-23.5539938,-46.6887695
931080794,node,Dia,supermarket,,Dia,Rua Purpurina,,,-23.5531822,-46.6901237
955679991,node,econ,supermarket,,,,,,-23.5882375,-46.6305984
1059201626,node,Natural Da Terra,supermarket,,,Rua Manuel da Nóbrega,,,-23.5695453,-46.6494263
1111669047,node,Pão de Açúcar,supermarket,,Pão de Açúcar,,,,-23.613501,-46.6780297
1111669065,node,Natural da Terra,supermarket,,,,,,-23.6144994,-46.6787416
1147642984,node,ampm,convenience,,ampm,Rua Domingos de Morais,,,-23.5930986,-46.6370091
1258229137,node,Carrefour,supermarket,Groupe Carrefour,Carrefour,"Rodovia Régis Bittencourt KM 271,5",,,-23.6136649,-46.7755645
1424656798,node,Dia,supermarket,,Dia,,,,-23.6044222,-46.6753368
1575974453,node,Carrefour,supermarket,,Carrefour,,,,-23.5839605,-46.7252342
1590255044,node,Conjunto Comercial Maria Cunha,convenience,,,,,,-23.6067942,-46.7541388
1590329974,node,Casas Bahia,convenience,,,,,,-23.6084901,-46.7552491
1628712116,node,Supermercado Real,supermarket,,,Avenida Agenor Couto de Magalhães,,08:00-20:30,-23.4724428,-46.7423819
1673737220,node,Sacolão Bidu,greengrocer,,,Avenida Dom Rodrigo Sanches,,,-23.6616802,-46.7795267
1707747194,node,Saga supermercado,supermarket,,,Rua Doutor Luís Barreto,,,-23.55457,-46.6475706
1707752919,node,Mini Mercado Extra,convenience,,,Praça Franklin Roosevelt,,,-23.547662,-46.6458516
1707884008,node,Supermercado Bom Vizinho,convenience,,,Rua Votupoca,,,-23.5356548,-46.7022009
1707884009,node,Celeste,convenience,,,,,,-23.5372407,-46.7063805
1741782836,node,Mercadinho São Sebastião,supermarket,,,,,,-23.6837381,-46.5399429
1750954867,node,Supermercado Rod&Raf,supermarket,,,Avenida Vaticano,,,-23.6002344,-46.7953291
