osm_id,osm_type,name,amenity,healthcare,operator,operator_type,emergency,beds,addr_street,phone,latitude,longitude
840695877,node,Hospital São Paulo,hospital,hospital,,,,,Rua Napoleão de Barros,+55 11 576-4000,-23.5977766,-46.6435335
840722121,node,Hospital Amparo Maternal,hospital,hospital,,,,,Rua Loefgren,+55 11 5089-8277,-23.6000575,-46.643394
1590255045,node,Hospital Family,hospital,hospital,,,,,Rua João Santucci,,-23.6057419,-46.7505095
1590265394,node,Intermédica Centro Clínico Taboão da Serra,hospital,hospital,,,no,,,,-23.6069072,-46.7538599
1590265395,node,Fisioterapia Ortoclimed,hospital,hospital,,,no,,,,-23.606632,-46.7542247
1590265407,node,Predict Medicina Diagnóstica,hospital,hospital,,,no,,,,-23.6063026,-46.7543266
1646829764,node,Pró Matre Paulista,hospital,hospital,,,,,Rua São Carlos do Pinhal,+55 11 3269-2233,-23.5657296,-46.6493847
2494728052,node,Hospital São Carlos,hospital,hospital,,,yes,,,,-23.5331751,-46.5273268
2762653462,node,Hospital Alemão Oswald Cruz,hospital,hospital,,,,,Rua Javari,+55 11 2081-6400,-23.5541379,-46.6042885
3259907564,node,Hospital Vida's,hospital,hospital,,,yes,,,,-23.6750741,-46.6855976
3443811672,node,Hospital Tide Setubal,hospital,,,,yes,,,,-23.4971785,-46.4400842
3501487380,node,Hospital Maternidade Jesus José e Maria,hospital,hospital,,,,,Avenida Doutor Renato de Andrade Maia,,-23.4511725,-46.531256
4341923594,node,Hospital Carlos Chagas,hospital,hospital,,,,,Ladeira Campos Sales,,-23.471988,-46.5323265
4345157391,node,Hospital Unimed Guarulhos,hospital,,,,,,Rua Conceição,,-23.4693872,-46.5381899
4381762589,node,Examen,hospital,hospital,,,,,Avenida Tiradentes,,-23.5293459,-46.6322476
4588145837,node,Medicina Diagnóstica Lavoisier,hospital,,,,,,Avenida São Luís,,-23.5452113,-46.6430721
4899871487,node,Hospital Total Cor,hospital,hospital,,,,,Alameda Santos,,-23.5676418,-46.6509728
4902197627,node,Santa Margiore,hospital,hospital,,,,,,,-23.559316,-46.6319648
5745394212,node,Hospital Casa Verde,hospital,hospital,,,,,Rua Relíquia,,-23.5063007,-46.6613822
6453422288,node,Hcor,hospital,hospital,,,,,Rua Tomás Carvalhal,,-23.5757158,-46.6430501
7737364385,node,Incor,hospital,hospital,,,,,,,-23.5578133,-46.6675398
8872479980,node,Clínica Individuar,hospital,hospital,Marianna,private,,,Rua Carlos Leal Evans,,-23.4768127,-46.5326747
8902094517,node,Centro Hospitalar do Sistema Penitenciário CHSP/CASH,hospital,,,,,,Rua Antônio dos Santos Neto,,-23.509275,-46.6189908
8939110117,node,AME Maria Zélia,hospital,hospital,,,,,,,-23.5324133,-46.5991979
9930024202,node,Pronto Atendimento Koiti Ishi,hospital,hospital,Secretaria Municipal da Saúde,government,yes,,Avenida do Taboão,,-23.6667262,-46.608959
10005127700,node,Hospital A C Camargo Câncer Center,hospital,hospital,,,,,,,-23.5654424,-46.6351493
10944473384,node,Hospital San Genaro,hospital,hospital,,private,,,,,-23.565437,-46.5944778
11776609819,node,Blanc,hospital,hospital,,,,,,,-23.5984034,-46.6866139
12036484079,node,Beneficência Portuguesa,hospital,hospital,,,,,,,-23.5686311,-46.671408
12316699492,node,Hospital Saint Patrick Jaguara,hospital,hospital,Associação Hospitalar Saint Patrick,,,,Avenida Cândido Portinari,5069-0002,-23.5082792,-46.7523764
12316724384,node,Hospital Saint Patrick Osasco,hospital,hospital,Associação Hospitalar Saint Patrick,,yes,,Rua Eloy Candido Lopes,,-23.5338329,-46.7765822
12381270279,node,HOSPITAL SANTA MARCELINA- ITAQUERA,hospital,hospital,,,yes,,"R. Santa Marcelina,",,-23.5542809,-46.4613548
12451447578,node,CAPS AD III ARMÊNIA,hospital,hospital,Sistema Único de Saúde,public,,,Rua Porto Seguro,,-23.5228681,-46.6264213
12485196777,node,Ícone da Visão São Paulo,hospital,hospital,Hospital de Olhos Ícone da Visão.,private,no,,Avenida Cidade Jardim,,-23.5793692,-46.6821988
12534869865,node,Amato,hospital,hospital,,,,,,,-23.5649269,-46.6780331
12534877571,node,Sírio Libanês,hospital,hospital,,,,,,,-23.5733788,-46.668149
12882260031,node,Albert Einstein,hospital,hospital,,,,,,,-23.5719756,-46.6696072
12962118039,node,Ama Sapopemba.,hospital,hospital,,,,,Rua João Lopes de Lima,,-23.611467,-46.4933193
12962123897,node,UBS Jardim Sapopemba.,hospital,hospital,,,,,Rua João Lopes de Lima,,-23.6114669,-46.4928022
12997883201,node,Hospital São Luiz - Guarulhos,hospital,,,,,,Avenida Tiradentes,3003-3230,-23.4626545,-46.5262231
13023067086,node,UBS Vila Reunidas I,hospital,hospital,,,,,R. São José das Espinharas,,-23.6044407,-46.532729
13023090130,node,Casa do Parto - Sapopemba,hospital,hospital,,,,,R. São José das Espinharas,,-23.6042357,-46.5326722
33910102,way,Instituto Dante Pazzanese de Cardiologia,hospital,hospital,Fundação Adib Jatene,,,,Avenida Doutor Dante Pazzanese,,-23.5845869,-46.6515581
34875563,way,Unidade de Pronto Atendimento Lapa,hospital,hospital,,,yes,,Avenida Queiroz Filho,,-23.5377585,-46.7219425
51387571,way,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo,hospital,hospital,,,yes,,,,-23.5570205,-46.6699257
75490092,way,Hospital Israelita Albert Einstein,hospital,hospital,,private,yes,,,,-23.5998322,-46.7153505
79392965,way,Casa de Saúde Nossa Senhora de Fátima,hospital,hospital,Irmãs Hospitaleiras,private_non_profit,,,Avenida Jornalista Paulo Zingg,,-23.4877874,-46.7609509
79442277,way,Hospital Municipal Doutor José Soares Hungria,hospital,hospital,Secretaria Municipal da Saúde,government,yes,,Avenida Menotti Laudisio,,-23.4846433,-46.7275286
79877355,way,Centro de Atenção Integrada à Saúde Mental Philippe Pinel,hospital,hospital,,,,,Avenida Raimundo Pereira de Magalhães,,-23.4867902,-46.7240239
112752680,way,Hospital Geral de Pedreira,hospital,hospital,,,yes,,,,-23.6810854,-46.6762597
123803627,way,Santa Casa de Misericórdia de Santo Amaro,hospital,hospital,,,yes,,,,-23.6502243,-46.7048922
124253228,way,Hospital Psiquátrico da Água Funda,hospital,hospital,,,no,,Avenida Miguel Estéfano,,-23.6441419,-46.6273565
124962731,way,Hospital Santa Paula,hospital,hospital,,,yes,,Avenida Santo Amaro,+55 11 3040-8000,-23.6055713,-46.6758988
125450889,way,AACD Ibirapuera,hospital,hospital,Associação de Assistência à Criança Deficiente,,,,Avenida Professor Ascendino Reis,,-23.5969971,-46.6517828
125450915,way,Complexo Hospitalar Edmundo Vasconcelos,hospital,hospital,,,yes,,Rua Borges Lagoa,,-23.5956238,-46.6522582
125450939,way,Hospital do Servidor Público Estadual,hospital,hospital,Governo do Estado de São Paulo,,,,Avenida Ibirapuera,,-23.5953388,-46.653635
125450941,way,Hospital do Servidor Público Estadual,hospital,hospital,Governo do Estado de São Paulo,,yes,,Avenida Ibirapuera,,-23.5966761,-46.6540961
125998418,way,Hospital da Cruz Vermelha,hospital,hospital,Movimento Internacional da Cruz Vermelha e do Crescente Vermelho,ngo,,,Avenida Moreira Guimarães,,-23.613347,-46.6562629
154251421,way,Hospital e Maternidade Cristóvão da Gama,hospital,hospital,,,yes,,,,-23.6685213,-46.5266268
158788584,way,Hospital Universitário,hospital,hospital,Universidade de São Paulo,public,yes,,Avenida Professor Lineu Prestes,,-23.5647337,-46.7411489
165265046,way,Pronto Socorro Municipal Doutor Caetano Virgílio Neto,hospital,hospital,Prefeitura do Município de São Paulo,government,yes,,Rua Augusto Farina,,-23.5844338,-46.7390105
176499521,way,Hospital Beneficência Portuguesa,hospital,hospital,,,yes,,Rua Maestro Cardim,,-23.5673854,-46.6415394
179550055,way,Hospital da Mulher,hospital,hospital,Secretaria da Saúde,government,yes,,Avenida Imperador Pedro II,,-23.7026406,-46.5490082
183680002,way,Hospital Municipal Santa Marcelina Cidade Tiradentes - Carmem Prudente,hospital,hospital,,,yes,,Avenida dos Metalúrgicos,+55 11 2559-6200,-23.596864,-46.4036965
189149865,way,Hospital Geral Professor Doutor Waldemar de Carvalho Pinto Filho,hospital,hospital,SDPM,,yes,,Alameda dos Lírios,+55 11 3466 1350,-23.4498132,-46.4950312
191510469,way,Hospital Sírio Libanês,hospital,hospital,,private,yes,,Rua Dona Adma Jafet,+55 11 3394-0200,-23.5574648,-46.6537663
195350819,way,Hospital Israelita Albert Einstein,hospital,hospital,,,,,Rua Madre Cabrini,+55 11 2151-7200;+55 11 2151-1233,-23.5919752,-46.6387612
195664900,way,Hospital Estadual Vila Alpina,hospital,,Secretaria de Estado da Saúde,,,,Avenida Francisco Falconi,,-23.5930689,-46.5613651
198297951,way,Hospital e Maternidade São Cristóvão,hospital,hospital,,,yes,,Rua Américo Ventura,+55 11 2029-7222;+55 11 2029-7200;+55 0800-7700-666,-23.5692804,-46.58553
